medium,source,sessions_visit,reach_view,reach_add,reach_checkout,reach_purchase_closed,reach_purchase_after_view,cr_visit_to_view,cr_view_to_add,cr_add_to_checkout,cr_checkout_to_purchase,cr_visit_to_purchase_closed,cr_visit_to_purchase_after_view,txn_count,revenue_usd,AOV_usd
Affiliates,Source1498,4.0,3.0,0.0,0.0,0.0,0.0,0.75,0.0,,,0.0,0.0,0.0,0.0,
Affiliates,Source11935,4.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,,,0.0,0.0,0.0,0.0,
referral,Source519,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,
Affiliates,Source1016,4.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,,,0.0,0.0,0.0,0.0,
Affiliates,Source1435,4.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.25,0.25,1.0,1449.0,1449.0
Affiliates,Source1175,4.0,3.0,0.0,0.0,0.0,0.0,0.75,0.0,,,0.0,0.0,0.0,0.0,
sms,Source1162,3.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,,,0.0,0.0,0.0,0.0,
referral,Source933,3.0,2.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,,,0.0,0.0,0.0,0.0,
referral,Source1422,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
referral,Source536,3.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,,,0.0,0.0,0.0,0.0,
email,Source848,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
Affiliates,Source521,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
Affiliates,Source849,3.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1049.0,1049.0
Affiliates,Source689,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
Affiliates,Source778,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,
Affiliates,Source1128,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
Affiliates,Source601,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,
Affiliates,Source1018,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
referral,Source1426,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
Affiliates,Source620,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
email2,Source753,2.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,,,0.0,0.0,0.0,0.0,
Affiliates,Source605,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,
organic,Source734,2.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,,,0.0,0.0,0.0,0.0,
Affiliates,Source909,2.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,,,0.0,0.0,0.0,0.0,
referral,Source901,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
email1,Source1063,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
Affiliates,Source1475,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,
referral,Source1043,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
referral,Source912,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
referral,Source558,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,
Affiliates,Source19658,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
Affiliates,Source1348,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,
Affiliates,Source16937,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
referral,Source1479,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,
Affiliates,Source564,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
sms,Source1382,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
Affiliates,Source15257,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,
referral,Source1088,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
SMS,Source1333,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,
post,Source674,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
other,Source1382,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,
Affiliates,Source1276,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
Affiliates,Source761,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,
email2,Source809,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,
email2,Source762,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
email2,Source16924,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
Affiliates,Source1453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
Affiliates,Source1324,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,
Affiliates,Source924,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
Affiliates,Source11172,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
Affiliates,Source544,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
email,Source1382,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
Affiliates,Source1022,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,
Affiliates,Source1044,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
Affiliates,Source947,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,
